"subnetwork_id","subnetwork_name","area","regional","oss","tech"
"903","RNCZ_KOTAMOBAGU2","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"904","RNCZ_SANGIR2","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"905","RNCZ_PALU6","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"906","RNCZ_BUYUMBOYO2","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"907","RNCZ_LUWUK2","GORONTALO","SULAWESI","EMS5(10.174.44.173)","3G"
"908","RNCZ_SANTIGI2","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"909","RNCZ_BAHONSUAI2","KENDARI","SULAWESI","EMS5(10.174.44.173)","3G"
"910","RNCZ_TOLAI2","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"915","RNCZ_WONOMULYO1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","3G"
"916","RNCZ_PALU5","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"917","RNCZ_MANADO7","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"918","RNCZ_OMPU","GORONTALO","SULAWESI","EMS5(10.174.44.173)","3G"
"919","RNCZ_TALAUD","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"920","RNCZ_BONE1","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","3G"
"921","RNCZ_BONE2","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","3G"
"922","RNCZ_PAREPARE1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","3G"
"923","RNCZ_PATTIROSOMPA1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","3G"
"924","RNCZ_MAMUJU1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","3G"
"925","RNCZ_PALOPO1","PARE-PARE","SULAWESI","UME9(10.40.50.10)","3G"
"926","RNCZ PINRANG1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","3G"
"927","RNCZ_RANTEPAO1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","3G"
"928","RNCZ_GORONTALO3","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"929","RNCZ_MANADO6","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"935","RNCZ_KENDARI2","KENDARI","SULAWESI","UME9(10.40.50.10)","3G"
"936","RNCZ_BONEPUTE1","MAKASSAR","SULAWESI","UME9(10.40.50.10)","3G"
"937","RNCZ_POMALAA1","KENDARI","SULAWESI","UME9(10.40.50.10)","3G"
"938","RNCZ_BAUBAU1","KENDARI","SULAWESI","UME9(10.40.50.10)","3G"
"939","RNCZ_LAMALA","PALU","SULAWESI","EMS5(10.174.44.173)","3G"
"940","RNCZ_PENGAYOMAN1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","3G"
"941","RNCZ_PENGAYOMAN2","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","3G"
"942","RNCZ_PENGAYOMAN3","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","3G"
"943","RNCZ_PENGAYOMAN4","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","3G"
"944","RNCZ_PENGAYOMAN5","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","3G"
"945","RNCZ_SUDIANG1","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","3G"
"946","RNCZ_SUDIANG2","PARE-PARE","SULAWESI","EMS7(10.54.28.129)","3G"
"947","RNCZ_BULUKUMBA1","MAKASSAR","SULAWESI","EMS7(10.54.28.129)","3G"
"948","RNCZ_KENDARI1","KENDARI","SULAWESI","UME9(10.40.50.10)","3G"
"949","RNCZ_TERNATE1","GORONTALO","SULAWESI","UME9(10.40.50.10)","3G"
"959","RNCZ_TERNATE2","MANADO","SULAWESI","UME9(10.40.50.10)","3G"
"969","RNCZ_GORONTALO4","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
"970","RNCZ_MANADO8","MANADO","SULAWESI","EMS5(10.174.44.173)","3G"
